Id,Author,mod_title,Genre,Comment
367-123,Der Stricker,Die Weisheit Salomons,Bispel,
,,Die Wette,Maere,
,,Die Woche,Minnerede,
,Peter Schmier,Die Wolfsklage,Bispel,
,,Die Wünsche,Maere,
,,Die zehn Lebensalter,Bispel,
,,Die zehn Schwestern,Minnerede,
,,Die zwei Beichten,Maere,
367-52,Der Stricker,Die zwei Herren,Maere,
,,Die zwei Maler,Maere,
367-150,Der Stricker,Die zwei Märkte,Maere,
,,Die zwölf Trünke,Maere,
,,Dietrichs Flucht,Epik,
,,Drei buhlerische Frauen,Maere,
367-121,Der Stricker,Drei Gott verhassten Dinge,Religious,
,,Dresdner Liebesbriefe (I) (B119),Minnerede,
,,Dresdner Liebesbriefe (II) (B120),Minnerede,
,Der Stricker,Edelmann und Pferdehändler,Bispel,
,Ulrich Boner,Edelstein,Minnerede,
,,Ehe im Leben und im Tode,Minnerede,
367-86,Der Stricker,Ehemanns Rat,Maere,
367-163,Der Stricker,Ehescheidungsgespräch,Maere,
367-42,Der Stricker,Ehre und Seelenheil,Bispel,
,–,Ehren und Höhnen,Fabel,
,,Ehrenrede auf Ritter Heinrich von eschweiler,,
,,Eiche und Rohr,Fabel,
367-122,Der Stricker,Ein Beispiel Salomons,Bispel,
,,Ein Traum vom Liebesglück,Minnerede,
,Hartmann von Aue,Erec,Epik,
,,Ermahnung wider die Türken,,
,–,Facerus cum nihil utilius,Moral,
,Der Stricker,Falsche und rechte Freigiebigkeit,Moral,
,,Fink und Nachtigall,Fabel,
,,Fluch über die ungetreuen Frauen,Moral,
367-161,Der Stricker,Frau Ehre und Frau Schande,Moral,
,–,Frau Ehrenkranz,Moral,
,Der arme Konrad,Frau Metze,Maere,
,,Frau Minne warnt vor Hochmut,Minnerede,
,–,Frau Minne warnt vor Lügen,Minnerede,
,–,Frau Seltenrein,Minnerede,
,–,Frau Venus und die Minnenden,Minnerede,
,Der Stricker,"Frau, Ehre und Frau Schande",Bispel,
,Ulrich von Liechtenstein,Frauenbuch,Minnerede,
367-3,Der Stricker,Frauenehre,Minnerede,
,,Frauenehre (I),Minnerede,
,,Frauenehre (II),Minnerede,
,Sibote,Frauenerziehung,Minnerede,
,Konrad Harder,Frauenkranz,Minnerede,
367-69,Der Stricker,Frauenleben und Pfaffenleben,Bispel,
,,Frauenlist,Maere,
,–,Frauentreue,Maere,
,Siegfried der Dörfer,Frauentrost,Maria,
,,Fuchs und Affe,Fabel,
,,Fuchs und Füchsin,Fabel,
,,Fuchs und Katze,Fabel,
,,Fuchs und Rabe,Fabel,
,,Fuchs und Wolf im Brunnen,Fabel,
,Konrad von Stoffeln,Gauriel von Muntabel,Epik,
,,Gebet zu Johannes dem Täufer,Religious,
,Heinrich der Teichner,Gedichte,Lyrik,
,Der Stricker,Gegen Gleichgeschlechtichkeit,Moral,
,,Geistliches ABC,,
,,Gespräch mit einem alten Liebhaber,Minnerede,
,–,Gespräch zwischen Herz und Mund,Minnerede,B51
,–,Glaubenbekenntnis eines Liebenden,Minnerede,
,–,Glück im Traum,Minnerede,
,,Glückliche Werbung,Minnerede,
,–,Gold und Zers,Minnerede,
,Hermann von Sachsenheim,Grabinschrift,Minnerede,
,,Guldin Rei,Minnerede,
,,Habicht und Huhn,Fabel,
,,Harm der Hund,Fabel,
367-43,Der Stricker,Hase und Löwe,Fabel,
,Konrad von Würzburg,Heinrich von Kempten,Maere,
,Hermann Fressant,Hellerwerwitz,Maere,
,Wernher der Gärtner,Helmbrecht,Maere,
,–,Henne und Fuchs,Fabel,
,–,Hero und Leander,Maere,
,,Herz und Leib,Minnerede,
,Konrad von Würzburg,Herzmaere,Maere,
,,Herzog Albrecht III von Österreich,,
367-87,Der Stricker,Hofhund und Jagdhunde,Fabel,
,Tannhäuser,Hofzucht,Moral,
,,Hund am Wasser,Fabel,
,,Ironische Minnelehre,Minnerede,
,–,Ironischer Frauenpreis,Minnerede,
,Hartmann von Aue,Iwein,Epik,
,,Jesu dulcis memoria,Religious,
,,Jesu Minne,Religious,
,Heinrich von Freiberg,Johann von Michelsberg,Maere,
,–,Judeneid,,
,,Junge Frau und alter Mann,Minnerede,
,–,Kettenreime,,
,,Kinder soll man ziehen,Moral,
,,Klage,Minnerede,
,,Klage einer jungen Frau,Minnerede,
,–,Klage einer Liebenden,Minnerede,B64
,,Klage eines Impotenten,Minnerede,
,–,Klage eines Liebenden,Minnerede,
,,Klage eines Liebenden II,Minnerede,
,,Klage eines Liebenden III,Minnerede,
,–,Klage eines verlassenen Liebhabers,Minnerede,
,–,Klage über die Arglist der Klaffer,Minnerede,B60
,,Klage über die falsche Minne,Minnerede,
,–,Klage über die Trennung von der Geliebten,Minnerede,B62
,–,Klage über die Untreue der Geliebten,Minnerede,B56
,–,Klage über Trennung von der Geliebten G,Minnerede,
,–,Klage um den Tod von Frauen,Minnerede,
,,Klage um eine edle Herzogin,Minnerede,
,–,Klage vor Frau Minne,Minnerede,B65
,,Kloster der Minne,Minnerede,
,Heinz der Kellner,Konni,Maere,
,,Krähe und Habicht,Fabel,
,,Krähe und Taube,Fabel,
,,Krähe und Taube,Fabel,
,,Krieg mit den Reichsstädten,,
,,Kuckuck und Wiedehopf,Fabel,
,,Kudrum,Epik,
,,Laurin,Epik,
,,Legende des heiligen Ulrich,Legende,
,,Legende des heiligen Wilhelm,Legende,
,,Lehren des Aristoteles,Didaktik,
,Walther von der Vogelweide,Leich,Lyrik,
,Reinmar von Zweter,Leich,Lyrik,
,,Liebe und Leid,Minnerede,
,Peter Suchenwirt,Liebe und Schönheit,Minnerede,
,–,Liebesbekenntnis,Minnerede,
,–,Liebesbrief (B145),Minnerede,B145
,,Liebesbrief Parodie,Minnerede,
,–,Liebesbrief(B77),Minnerede,B77
,–,Liebesbrief(B78),Minnerede,B78
,–,Liebesbrief(B79),Minnerede,B79
,–,Liebesbrief(B80),Minnerede,B80
,–,Liebesfreuden und -leiden,Minnerede,B69
,,Liebesgespräch II,Minnerede,
,,Liebesgruß mit einem Geschenk (B159a),Minnerede,B159a
,–,Liebesgrüsse(B82),Minnerede,B82
,–,Liebeshoffnung,Minnerede,
,,Liebesklage,Minnerede,
,,Liebesklage,Minnerede,
,,Liebesklage,Minnerede,
,–,Liebesklage an die Geliebte,Minnerede,B68
,,Liebesklage einer Frau,Minnerede,
,–,Liebesklage einer Frau (B44),Minnerede,
,–,Liebesklage einer Frau (B47),Minnerede,
,,Liebesklage eines Mannes,Minnerede,B57
,,Liebesklage IV,Minnerede,
,–,Liebesklage(B40),Minnerede,
,–,Liebesklage(B41),Minnerede,
,–,Liebesklage(B43),Minnerede,
,–,Liebesklage(B63),Minnerede,
,–,Liebesklage(B70),Minnerede,
,–,Liebesklage(B71),Minnerede,
,–,Liebesklage(B72),Minnerede,
,–,Liebespein,Minnerede,B58
,,Liebesseufzer,Minnerede,
,,Liebeswerbung,Minnerede,
,,Lob der beständigen Frauen,Minnerede,
,,Lob der Frauen,Minnerede,
,,Lob der Frauen I,Minnerede,
,Konrad von Würzburg,Lob der Geliebten,Minnerede,Trojanerkrieg
,–,Lob der Geliebten,Minnerede,
,–,Lob der Geliebten(3),Minnerede,
,,Lob der grünen Farbe,Minnerede,
,,Lob der guten Fut,Minnerede,
,,Lob der Jungfrau Maria,Religious,
,,Lob einer Frau nach dem ABC,Minnerede,
,,Lob und Schelte einer Frau nach dem ABC,Minnerede,
,–,Lotterspruch,Minnerede,
,,Löwe und Maus,Fabel,
,,Löwe und Sohn,Fabel,
,,Lucidarius,Didaktik,
,,Lügenpredigt,Geist.Parodie,
,–,Lügenpredigt vom Backofen,Geist.Parodie,
,–,Lügenrede,Geist.Parodie,
,–,Mahnung,Religious,
367-102,Der Stricker,Mahnung zu rechtzeitiger Busse,Religious,
,,Männertreue und Frauentreue,Minnerede,
,,Margaretlegende,Legende,
,–,Marien Rosenkranz,Maria,
,,Mariengebet,Maria,
,,Mariengruß,Maria,
,,Mariengrüße,Maria,
,,Marienlied,Maria,
,,Meiden und Leiden,Minnerede,
,,Melusine,Epik,
,,Minne und Gesellschaft,Minnerede,
,,Minneabenteuer,Minnerede,
